station_id,station_name,station_latitude,station_longitude
1,Tucuruvi,-23.480316 ,-46.603715
2,Parada Inglesa,-23.482483 ,-46.613299
3,Jardim Sao Paulo - Ayrton Senna,-23.491991 ,-46.616599
4,Santana,-23.502238 ,-46.624708
5,Carandiru,-23.508992 ,-46.624969
6,Portuguesa-Tiete,-23.515772  ,-46.625226
7,Armênia,-23.525248  ,-46.629279
8,Tiradentes,-23.530610  ,-46.632472
9,Luz,-23.536248  ,-46.634314
10,Sao Bento,-23.544154 ,-46.634188
11,Se,-23.549883 ,-46.633342 
12,Japao-Liberdade,-23.555061  ,-46.635642
13,Sao Joaquim,-23.561617  ,-46.638672
14,Vergueiro,-23.568630 ,-46.639922
15,Paraiso,-23.576324 ,-46.640839
16,Ana Rosa,-23.581295 ,-46.638620
17,Vila Mariana,-23.589268 ,-46.634439
18,Santa Cruz,-23.598683 ,-46.636780
19,Praca da Arvore,-23.610284 ,-46.637902
20,Saúde,-23.618401,-46.639376
21,Sao Judas,-23.625381 ,-46.640864
22,Conceicao,-23.634902  ,-46.641365
23,Jabaquara,-23.645832 ,-46.640815
24,Vila Madalena,-23.546391 ,-46.690798
25,Sumare,-23.550467 ,-46.677870
26,Clinicas,-23.554084 ,-46.671030
27,Paulista/Consolacao,-23.557654 ,-46.660674
28,Trianon-Masp,-23.563432 ,-46.653858
29,Brigadeiro,-23.567374 ,-46.648995
30,Chacara Klabin,-23.592504 ,-46.630408
31,Santos-Imigrantes,-23.595719 ,-46.620738
32,Alto do Ipiranga,-23.601832 ,-46.612505
33,Sacoma,-23.602808 ,-46.602784
34,Tamanduatei,-23.592541 ,-46.589450 
35,Vila Prudente,-23.584183 ,-46.581869
36,Palmeiras-Barra Funda,-23.525158 ,-46.667368
37,Marechal Deodoro,-23.533646 ,-46.655658
38,Santa Cecilia,-23.538935  ,-46.649160
39,Republica,-23.543819 ,-46.642347
40,Anhagabau,-23.547607 ,-46.638669
41,Pedro II,-23.549491 ,-46.625963
42,Bras,-23.547545 ,-46.615929
43,Bresser-Mooca,-23.545890 ,-46.607159
44,Belem,-23.542547 ,-46.589689
45,Tatuape,-23.540006 ,-46.576615
46,Carrao,-23.537590 ,-46.564165
47,Penha,-23.533281 ,-46.542549
48,Vila Matilde,-23.531583 ,-46.530807
49,Guilhermina-Esperanca,-23.529015 ,-46.516476
50,Patriarca-Vila Re,-23.530781 ,-46.501455
51,Artur Alvim,-23.540206 ,-46.484352
52,Corinthians-Itaquera,-23.541970 ,-46.471077
53,Sao Paulo-Morumbi,-23.586118 ,-46.723454
